tv,radio,newspaper,sales
0.255665,0.554435,0.138083,0.409449
0.371999,0.818548,0.553210,0.566929
0.296246,0.514113,0.642920,0.444882
0.368955,0.963710,0.449428,0.594488
0.451809,0.098790,0.079156,0.377953
0.094352,0.030242,0.287599,0.224409
0.733852,0.675403,0.516271,0.700787
0.846128,0.735887,0.633245,0.811024
0.360839,0.282258,0.093228,0.389764
0.549882,0.637097,0.462621,0.602362
0.665878,0.070565,0.049252,0.397638
0.622929,0.423387,0.190853,0.547244
0.977342,0.852823,0.447669,0.937008
0.454853,0.840726,0.401055,0.614173
0.749746,0.086694,0.435356,0.397638
1.000000,0.731855,0.884785,0.874016
0.945215,0.203629,0.185576,0.519685
0.633074,0.346774,0.154793,0.515748
0.803179,0.691532,0.043975,0.751969
0.463984,0.935484,0.516271,0.692913
0.082178,0.221774,0.258575,0.220472
0.303348,0.006048,0.201407,0.279528
0.041934,0.008065,0.222515,0.145669
0.861346,0.542339,0.045734,0.716535
0.761245,0.165323,0.494283,0.464567
0.815015,0.766129,0.201407,0.795276
0.591816,0.310484,0.018470,0.492126
0.706459,0.415323,0.091469,0.562992
0.262090,0.943548,0.300792,0.511811
0.251606,0.705645,0.460862,0.433071
0.468380,0.288306,0.222515,0.417323
0.256003,0.016129,0.127529,0.307087
0.422726,0.743952,0.693931,0.562992
0.063240,0.322581,0.193492,0.196850
0.475482,0.540323,0.403694,0.547244
0.061211,0.437500,0.440633,0.212598
0.755157,0.048387,0.134565,0.393701
0.413933,0.697581,0.106420,0.535433
0.773757,0.651210,0.649956,0.712598
0.292526,0.237903,0.225154,0.354331
0.024011,0.784274,0.442392,0.196850
0.268854,0.000000,0.078276,0.283465
0.742645,0.987903,0.025506,0.909449
0.199188,0.241935,0.376429,0.318898
0.000000,0.798387,0.073879,0.000000
0.894488,0.058468,0.375550,0.437008
0.026040,0.548387,0.015831,0.161417
0.740954,0.675403,0.394019,0.708661
0.122421,0.778226,0.574318,0.362205
0.160974,0.947581,0.072120,0.393701
0.084207,0.786290,0.079156,0.311024
0.923233,0.582661,0.522427,0.755906
0.143050,0.522177,0.177661,0.314961
0.622929,0.885081,0.012313,0.751969
0.245857,0.342742,0.110818,0.366142
0.652689,0.713710,0.662269,0.692913
0.743321,0.669355,0.330695,0.728346
0.351370,0.114919,0.299912,0.346457
0.322962,0.298387,0.339490,0.385827
0.472100,0.038306,0.076517,0.342520
0.809604,0.147177,0.073879,0.456693
0.820088,0.987903,0.386983,0.937008
0.126141,0.812500,0.102023,0.366142
0.148799,0.520161,0.178540,0.334646
0.946906,0.280242,0.322779,0.570866
0.406831,0.169355,0.425682,0.393701
0.665878,0.469758,0.122252,0.590551
0.576936,0.800403,0.328936,0.685039
0.632736,0.425403,0.080915,0.551181
0.011498,0.233871,0.047493,0.062992
0.315184,0.877016,0.441513,0.539370
0.504227,0.026210,0.211082,0.334646
0.037200,0.743952,0.394899,0.224409
0.443017,0.370968,0.301671,0.444882
